. Sequence file : [Hominid_ALB.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #32	4   	-27348.17459	Yes        	4        	1.390    	0.202    	 0.31108   0.17353   0.17412   0.34127	-0.82306   0.11818   0.58474   0.12013  
      	     	          	           	          	           	             	                                      	 0.21185  -1.42502   0.23839   0.97477  
      	     	          	           	          	           	             	                                      	 1.04468   0.23758  -1.47435   0.19209  
      	     	          	           	          	           	             	                                      	 0.10951   0.49564   0.09801  -0.70316  
  #33	4   	-27697.54391	Yes        	4        	0.792    	0.198    	 0.30437   0.17570   0.18163   0.33830	-0.79286   0.11249   0.57108   0.10928  
      	     	          	           	          	           	             	                                      	 0.19488  -1.42789   0.22752   1.00549  
      	     	          	           	          	           	             	                                      	 0.95702   0.22010  -1.40856   0.23143  
      	     	          	           	          	           	             	                                      	 0.09832   0.52222   0.12425  -0.74479  
  #34	4   	-27451.73471	Yes        	4        	0.411    	0.189    	 0.30866   0.17305   0.18042   0.33787	-0.85654   0.12491   0.61310   0.11853  
      	     	          	           	          	           	             	                                      	 0.22279  -1.38683   0.20671   0.95734  
      	     	          	           	          	           	             	                                      	 1.04889   0.19827  -1.43659   0.18944  
      	     	          	           	          	           	             	                                      	 0.10829   0.49034   0.10116  -0.69979  
  #35	4   	-27129.46016	Yes        	4        	0.369    	0.189    	 0.31008   0.16660   0.18007   0.34325	-0.84861   0.10408   0.61169   0.13284  
      	     	          	           	          	           	             	                                      	 0.19373  -1.35661   0.22471   0.93817  
      	     	          	           	          	           	             	                                      	 1.05333   0.20789  -1.50071   0.23949  
      	     	          	           	          	           	             	                                      	 0.12001   0.45535   0.12564  -0.70100  
  #36	4   	-27536.32091	Yes        	4        	0.549    	0.194    	 0.30797   0.17084   0.18155   0.33964	-0.86595   0.14939   0.60198   0.11459  
      	     	          	           	          	           	             	                                      	 0.26931  -1.41236   0.23390   0.90915  
      	     	          	           	          	           	             	                                      	 1.02120   0.22010  -1.45080   0.20951  
      	     	          	           	          	           	             	                                      	 0.10390   0.45729   0.11199  -0.67317  
  #37	4   	-27607.48632	Yes        	4        	0.798    	0.198    	 0.30230   0.17075   0.18173   0.34521	-0.85856   0.13782   0.64293   0.07782  
      	     	          	           	          	           	             	                                      	 0.24399  -1.42149   0.18248   0.99501  
      	     	          	           	          	           	             	                                      	 1.06947   0.17146  -1.45768   0.21676  
      	     	          	           	          	           	             	                                      	 0.06815   0.49217   0.11411  -0.67443  
  #38	4   	-27355.92478	Yes        	4        	0.356    	0.188    	 0.31062   0.17026   0.18256   0.33656	-0.82779   0.10729   0.60835   0.11215  
      	     	          	           	          	           	             	                                      	 0.19573  -1.40393   0.24414   0.96406  
      	     	          	           	          	           	             	                                      	 1.03511   0.22770  -1.46638   0.20357  
      	     	          	           	          	           	             	                                      	 0.10350   0.48770   0.11042  -0.70163  
  #39	4   	-27399.40524	Yes        	4        	0.659    	0.196    	 0.30573   0.17298   0.17643   0.34485	-0.81369   0.11125   0.58416   0.11827  
      	     	          	           	          	           	             	                                      	 0.19663  -1.41054   0.21846   0.99545  
      	     	          	           	          	           	             	                                      	 1.01225   0.21418  -1.46021   0.23378  
      	     	          	           	          	           	             	                                      	 0.10485   0.49933   0.11961  -0.72379  
  #40	4   	-27443.25633	Yes        	4        	0.827    	0.198    	 0.30513   0.16757   0.18427   0.34302	-0.79165   0.10542   0.58007   0.10615  
      	     	          	           	          	           	             	                                      	 0.19197  -1.49460   0.29826   1.00436  
      	     	          	           	          	           	             	                                      	 0.96053   0.27122  -1.44970   0.21795  
      	     	          	           	          	           	             	                                      	 0.09443   0.49063   0.11709  -0.70215  
  #41	4   	-27561.22092	Yes        	4        	2.268    	0.203    	 0.30017   0.17554   0.18320   0.34109	-0.87461   0.13516   0.60505   0.13440  
      	     	          	           	          	           	             	                                      	 0.23112  -1.36541   0.21672   0.91758  
      	     	          	           	          	           	             	                                      	 0.99137   0.20766  -1.40839   0.20937  
      	     	          	           	          	           	             	                                      	 0.11827   0.47222   0.11245  -0.70295  
  #42	4   	-27689.27218	Yes        	4        	0.561    	0.193    	 0.30946   0.16880   0.17767   0.34408	-0.84327   0.10798   0.60426   0.13102  
      	     	          	           	          	           	             	                                      	 0.19797  -1.38325   0.23574   0.94954  
      	     	          	           	          	           	             	                                      	 1.05250   0.22397  -1.49584   0.21936  
      	     	          	           	          	           	             	                                      	 0.11784   0.46582   0.11327  -0.69693  
  #43	4   	-27106.57425	Yes        	4        	1.979    	0.202    	 0.31313   0.16830   0.18430   0.33427	-0.86188   0.12483   0.62635   0.11070  
      	     	          	           	          	           	             	                                      	 0.23225  -1.42584   0.22133   0.97226  
      	     	          	           	          	           	             	                                      	 1.06418   0.20211  -1.42494   0.15864  
      	     	          	           	          	           	             	                                      	 0.10370   0.48952   0.08747  -0.68069  
  #44	4   	-27737.76650	Yes        	4        	0.497    	0.192    	 0.31285   0.17249   0.17894   0.33572	-0.84899   0.13386   0.63555   0.07958  
      	     	          	           	          	           	             	                                      	 0.24278  -1.37943   0.20619   0.93045  
      	     	          	           	          	           	             	                                      	 1.11114   0.19875  -1.52415   0.21425  
      	     	          	           	          	           	             	                                      	 0.07416   0.47805   0.11420  -0.66641  
  #45	4   	-27530.67399	Yes        	4        	0.423    	0.189    	 0.30813   0.16826   0.18395   0.33966	-0.84385   0.10695   0.63352   0.10338  
      	     	          	           	          	           	             	                                      	 0.19585  -1.33331   0.27228   0.86519  
      	     	          	           	          	           	             	                                      	 1.06121   0.24906  -1.57444   0.26417  
      	     	          	           	          	           	             	                                      	 0.09378   0.42860   0.14306  -0.66544  
  #46	4   	-27621.59394	Yes        	4        	0.859    	0.199    	 0.30968   0.16718   0.18116   0.34198	-0.80101   0.11832   0.57340   0.10929  
      	     	          	           	          	           	             	                                      	 0.21916  -1.49606   0.31425   0.96265  
      	     	          	           	          	           	             	                                      	 0.98018   0.29000  -1.48255   0.21237  
