. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #21	4   	-13648.43518	Yes        	4        	618.416    	0.199    	 0.27075   0.22869   0.24894   0.25162	-0.96751   0.20231   0.70460   0.06060  
      	     	          	           	          	           	             	                                      	 0.23952  -1.08274   0.16412   0.67910  
      	     	          	           	          	           	             	                                      	 0.76633   0.15077  -1.09870   0.18160  
      	     	          	           	          	           	             	                                      	 0.06521   0.61723   0.17967  -0.86211  
  #22	4   	-13978.58350	Yes        	4        	1.663    	0.204    	 0.27639   0.23419   0.24272   0.24670	-0.79068   0.19578   0.55879   0.03611  
      	     	          	           	          	           	             	                                      	 0.23106  -1.20594   0.18391   0.79097  
      	     	          	           	          	           	             	                                      	 0.63632   0.17745  -1.03277   0.21899  
      	     	          	           	          	           	             	                                      	 0.04045   0.75087   0.21546  -1.00678  
  #23	4   	-13566.97402	Yes        	4        	882.060    	0.164    	 0.28007   0.23120   0.24813   0.24060	-0.89230   0.14839   0.67912   0.06479  
      	     	          	           	          	           	             	                                      	 0.17975  -1.01049   0.15860   0.67214  
      	     	          	           	          	           	             	                                      	 0.76656   0.14778  -1.14818   0.23384  
      	     	          	           	          	           	             	                                      	 0.07543   0.64590   0.24115  -0.96248  
  #24	4   	-13655.87632	Yes        	4        	882.188    	0.144    	 0.27825   0.23859   0.23760   0.24556	-0.96524   0.12301   0.77407   0.06816  
      	     	          	           	          	           	             	                                      	 0.14346  -0.90005   0.08901   0.66759  
      	     	          	           	          	           	             	                                      	 0.90650   0.08938  -1.21012   0.21424  
      	     	          	           	          	           	             	                                      	 0.07724   0.64865   0.20730  -0.93319  
  #25	4   	-13662.25238	Yes        	4        	881.904    	0.168    	 0.27913   0.23360   0.24596   0.24131	-0.96760   0.15628   0.73977   0.07155  
      	     	          	           	          	           	             	                                      	 0.18674  -0.97160   0.10144   0.68342  
      	     	          	           	          	           	             	                                      	 0.83951   0.09634  -1.12521   0.18936  
      	     	          	           	          	           	             	                                      	 0.08276   0.66157   0.19301  -0.93734  
  #26	4   	-13751.12622	Yes        	4        	1.147    	0.201    	 0.27050   0.23149   0.24409   0.25392	-0.93690   0.13233   0.75067   0.05390  
      	     	          	           	          	           	             	                                      	 0.15463  -0.97821   0.16841   0.65517  
      	     	          	           	          	           	             	                                      	 0.83191   0.15972  -1.22071   0.22908  
      	     	          	           	          	           	             	                                      	 0.05742   0.59730   0.22020  -0.87492  
  #27	4   	-13603.34494	Yes        	4        	1.078    	0.201    	 0.28089   0.22761   0.24801   0.24349	-0.86381   0.13313   0.68972   0.04096  
      	     	          	           	          	           	             	                                      	 0.16430  -1.04756   0.14187   0.74139  
      	     	          	           	          	           	             	                                      	 0.78119   0.13020  -1.13850   0.22711  
      	     	          	           	          	           	             	                                      	 0.04725   0.69303   0.23132  -0.97159  
  #28	4   	-13492.53099	Yes        	4        	382.584    	0.200    	 0.28210   0.22987   0.23761   0.25043	-0.81599   0.16197   0.62545   0.02857  
      	     	          	           	          	           	             	                                      	 0.19878  -1.13266   0.15134   0.78254  
      	     	          	           	          	           	             	                                      	 0.74255   0.14641  -1.12104   0.23208  
      	     	          	           	          	           	             	                                      	 0.03218   0.71829   0.22020  -0.97067  
  #29	4   	-13727.24216	Yes        	4        	618.416    	0.184    	 0.27382   0.23116   0.25000   0.24501	-0.86944   0.10023   0.67850   0.09071  
      	     	          	           	          	           	             	                                      	 0.11873  -0.97090   0.13407   0.71810  
      	     	          	           	          	           	             	                                      	 0.74316   0.12397  -1.12687   0.25975  
      	     	          	           	          	           	             	                                      	 0.10137   0.67751   0.26503  -1.04392  
  #30	4   	-13897.16921	Yes        	4        	881.864    	0.165    	 0.28319   0.23262   0.23574   0.24845	-0.83474   0.14141   0.63901   0.05432  
      	     	          	           	          	           	             	                                      	 0.17216  -1.05239   0.18608   0.69416  
      	     	          	           	          	           	             	                                      	 0.76764   0.18362  -1.20088   0.24962  
      	     	          	           	          	           	             	                                      	 0.06192   0.64994   0.23685  -0.94871  
  #31	4   	-13674.96995	Yes        	4        	618.416    	0.198    	 0.27092   0.23254   0.24840   0.24814	-0.99615   0.19763   0.74431   0.05422  
      	     	          	           	          	           	             	                                      	 0.23025  -1.01325   0.17372   0.60929  
      	     	          	           	          	           	             	                                      	 0.81180   0.16262  -1.16783   0.19341  
      	     	          	           	          	           	             	                                      	 0.05919   0.57098   0.19361  -0.82378  
  #32	4   	-13576.97594	Yes        	4        	618.416    	0.197    	 0.28197   0.23094   0.24954   0.23756	-0.80889   0.11696   0.60100   0.09093  
      	     	          	           	          	           	             	                                      	 0.14280  -1.10134   0.19140   0.76714  
      	     	          	           	          	           	             	                                      	 0.67912   0.17714  -1.05885   0.20259  
      	     	          	           	          	           	             	                                      	 0.10793   0.74576   0.21281  -1.06650  
