. Sequence file : [Hominid_AMELX.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #43	4   	-11303.18838	Yes        	4        	618.416    	0.200    	 0.31794   0.20513   0.17124   0.30569	-0.72665   0.16010   0.46086   0.10569  
      	     	          	           	          	           	             	                                      	 0.24816  -1.50192   0.28711   0.96665  
      	     	          	           	          	           	             	                                      	 0.85570   0.34393  -1.26845   0.06883  
      	     	          	           	          	           	             	                                      	 0.10993   0.64865   0.03855  -0.79713  
  #44	4   	-11506.03781	Yes        	4        	882.303    	0.154    	 0.30686   0.20593   0.17478   0.31243	-0.87166   0.13578   0.59325   0.14264  
      	     	          	           	          	           	             	                                      	 0.20232  -1.22178   0.19498   0.82448  
      	     	          	           	          	           	             	                                      	 1.04158   0.22973  -1.40051   0.12920  
      	     	          	           	          	           	             	                                      	 0.14010   0.54344   0.07228  -0.75582  
  #45	4   	-11496.05543	Yes        	4        	1.081    	0.201    	 0.30188   0.19857   0.18777   0.31179	-0.71171   0.14590   0.47030   0.09550  
      	     	          	           	          	           	             	                                      	 0.22181  -1.46807   0.23556   1.01070  
      	     	          	           	          	           	             	                                      	 0.75611   0.24912  -1.20592   0.20069  
      	     	          	           	          	           	             	                                      	 0.09246   0.64369   0.12086  -0.85701  
  #46	4   	-11369.06081	Yes        	4        	1.016    	0.200    	 0.30104   0.20746   0.17737   0.31412	-0.75970   0.14795   0.52240   0.08935  
      	     	          	           	          	           	             	                                      	 0.21469  -1.34325   0.19247   0.93609  
      	     	          	           	          	           	             	                                      	 0.88663   0.22512  -1.32129   0.20955  
      	     	          	           	          	           	             	                                      	 0.08563   0.61822   0.11832  -0.82217  
  #47	4   	-11237.29841	Yes        	4        	618.416    	0.167    	 0.31488   0.20539   0.17021   0.30952	-0.71058   0.13966   0.47352   0.09740  
      	     	          	           	          	           	             	                                      	 0.21412  -1.40751   0.26621   0.92718  
      	     	          	           	          	           	             	                                      	 0.87600   0.32123  -1.38019   0.18296  
      	     	          	           	          	           	             	                                      	 0.09908   0.61525   0.10061  -0.81495  
  #48	4   	-11246.35773	Yes        	4        	382.584    	0.217    	 0.30224   0.20840   0.18232   0.30704	-0.74986   0.10567   0.54018   0.10401  
      	     	          	           	          	           	             	                                      	 0.15326  -1.27316   0.19147   0.92844  
      	     	          	           	          	           	             	                                      	 0.89549   0.21886  -1.33361   0.21926  
      	     	          	           	          	           	             	                                      	 0.10238   0.63016   0.13019  -0.86273  
  #49	4   	-11393.05935	Yes        	4        	882.459    	0.124    	 0.30713   0.20772   0.17178   0.31337	-0.75184   0.13211   0.48883   0.13091  
      	     	          	           	          	           	             	                                      	 0.19532  -1.39431   0.24135   0.95764  
      	     	          	           	          	           	             	                                      	 0.87397   0.29185  -1.28242   0.11661  
      	     	          	           	          	           	             	                                      	 0.12830   0.63479   0.06392  -0.82702  
  #50	4   	-11367.34081	Yes        	4        	2.080    	0.204    	 0.30828   0.20450   0.17281   0.31441	-0.91663   0.16996   0.66742   0.07925  
      	     	          	           	          	           	             	                                      	 0.25621  -1.18739   0.16631   0.76488  
      	     	          	           	          	           	             	                                      	 1.19059   0.19680  -1.54362   0.15623  
      	     	          	           	          	           	             	                                      	 0.07771   0.49748   0.08587  -0.66106  
  #51	4   	-11321.00426	Yes        	4        	882.461    	0.133    	 0.30609   0.20763   0.17983   0.30645	-0.74866   0.18102   0.47009   0.09755  
      	     	          	           	          	           	             	                                      	 0.26686  -1.41585   0.20656   0.94243  
      	     	          	           	          	           	             	                                      	 0.80014   0.23849  -1.21811   0.17948  
      	     	          	           	          	           	             	                                      	 0.09743   0.63854   0.10532  -0.84130  
  #52	4   	-11294.84539	Yes        	4        	1.196    	0.201    	 0.30901   0.20612   0.17372   0.31116	-0.67425   0.07728   0.51306   0.08391  
      	     	          	           	          	           	             	                                      	 0.11586  -1.41602   0.23790   1.06225  
      	     	          	           	          	           	             	                                      	 0.91263   0.28227  -1.33115   0.13625  
      	     	          	           	          	           	             	                                      	 0.08333   0.70365   0.07607  -0.86305  
  #53	4   	-11304.21134	Yes        	4        	0.675    	0.196    	 0.29851   0.21041   0.17467   0.31642	-0.84403   0.13149   0.66041   0.05214  
      	     	          	           	          	           	             	                                      	 0.18654  -1.26518   0.20414   0.87450  
      	     	          	           	          	           	             	                                      	 1.12865   0.24592  -1.49534   0.12077  
      	     	          	           	          	           	             	                                      	 0.04919   0.58152   0.06666  -0.69737  
  #54	4   	-11374.52473	Yes        	4        	882.462    	0.117    	 0.30546   0.20981   0.17060   0.31412	-0.82644   0.16786   0.53751   0.12107  
      	     	          	           	          	           	             	                                      	 0.24438  -1.27096   0.18889   0.83769  
      	     	          	           	          	           	             	                                      	 0.96241   0.23230  -1.38324   0.18852  
      	     	          	           	          	           	             	                                      	 0.11773   0.55952   0.10239  -0.77965  
  #55	4   	-11442.82723	Yes        	4        	0.631    	0.196    	 0.30146   0.21380   0.17632   0.30842	-0.71589   0.12961   0.53354   0.05274  
      	     	          	           	          	           	             	                                      	 0.18276  -1.31617   0.25041   0.88300  
      	     	          	           	          	           	             	                                      	 0.91222   0.30364  -1.45328   0.23742  
      	     	          	           	          	           	             	                                      	 0.05155   0.61210   0.13573  -0.79939  
  #56	4   	-11353.73711	Yes        	4        	1.379    	0.202    	 0.30929   0.20420   0.16946   0.31704	-0.85158   0.16288   0.59393   0.09477  
      	     	          	           	          	           	             	                                      	 0.24671  -1.28171   0.16982   0.86518  
      	     	          	           	          	           	             	                                      	 1.08400   0.20464  -1.43772   0.14908  
      	     	          	           	          	           	             	                                      	 0.09245   0.55725   0.07968  -0.72938  
  #57	4   	-11369.90146	Yes        	4        	0.488    	0.194    	 0.31330   0.19922   0.17893   0.30855	-0.68450   0.13250   0.48144   0.07056  
      	     	          	           	          	           	             	                                      	 0.20837  -1.49282   0.25728   1.02718  
      	     	          	           	          	           	             	                                      	 0.84301   0.28645  -1.29523   0.16577  
      	     	          	           	          	           	             	                                      	 0.07164   0.66319   0.09613  -0.83097  
  #58	4   	-11275.47858	Yes        	4        	2.213    	0.205    	 0.29583   0.20821   0.18041   0.31555	-0.88546   0.15490   0.61247   0.11808  
      	     	          	           	          	           	             	                                      	 0.22009  -1.19209   0.17136   0.80064  
      	     	          	           	          	           	             	                                      	 1.00433   0.19776  -1.39984   0.19774  
      	     	          	           	          	           	             	                                      	 0.11070   0.52829   0.11305  -0.75204  
  #59	4   	-11336.29804	Yes        	4        	618.416    	0.169    	 0.30768   0.20923   0.17435   0.30874	-0.72448   0.13356   0.50914   0.08179  
      	     	          	           	          	           	             	                                      	 0.19640  -1.41163   0.24503   0.97020  
      	     	          	           	          	           	             	                                      	 0.89851   0.29406  -1.32347   0.13090  
      	     	          	           	          	           	             	                                      	 0.08151   0.65752   0.07392  -0.81294  
  #60	4   	-11520.86778	Yes        	4        	618.416    	0.197    	 0.29562   0.21365   0.18492   0.30581	-0.80124   0.19273   0.50668   0.10183  
      	     	          	           	          	           	             	                                      	 0.26667  -1.39561   0.21651   0.91243  
      	     	          	           	          	           	             	                                      	 0.81001   0.25016  -1.17879   0.11862  
      	     	          	           	          	           	             	                                      	 0.09844   0.63747   0.07173  -0.80764  
  #61	4   	-11344.91717	Yes        	4        	382.584    	0.201    	 0.31348   0.20830   0.17134   0.30688	-0.69355   0.11111   0.47248   0.10996  
      	     	          	           	          	           	             	                                      	 0.16721  -1.38012   0.32853   0.88437  
      	     	          	           	          	           	             	                                      	 0.86442   0.39939  -1.43857   0.17475  
      	     	          	           	          	           	             	                                      	 0.11232   0.60027   0.09757  -0.81017  
  #62	4   	-11353.75329	Yes        	4        	618.416    	0.175    	 0.30571   0.20421   0.17660   0.31348	-0.75882   0.14986   0.52861   0.08035  
      	     	          	           	          	           	             	                                      	 0.22435  -1.38113   0.20347   0.95331  
      	     	          	           	          	           	             	                                      	 0.91506   0.23528  -1.33038   0.18005  
      	     	          	           	          	           	             	                                      	 0.07836   0.62101   0.10143  -0.80080  
  #63	4   	-11342.42162	Yes        	4        	618.416    	0.174    	 0.29870   0.20314   0.17715   0.32101	-0.84072   0.15917   0.56371   0.11784  
      	     	          	           	          	           	             	                                      	 0.23404  -1.34448   0.24809   0.86234  
      	     	          	           	          	           	             	                                      	 0.95047   0.28448  -1.36649   0.13155  
      	     	          	           	          	           	             	                                      	 0.10965   0.54571   0.07260  -0.72796  
  #64	4   	-11394.77295	Yes        	4        	1.044    	0.200    	 0.31906   0.20031   0.17257   0.30806	-0.70719   0.08089   0.54608   0.08022  
      	     	          	           	          	           	             	                                      	 0.12884  -1.32545   0.24430   0.95231  
      	     	          	           	          	           	             	                                      	 1.00959   0.28356  -1.49411   0.20096  
      	     	          	           	          	           	             	                                      	 0.08308   0.61920   0.11257  -0.81486  
  #65	4   	-11288.50274	Yes        	4        	618.416    	0.172    	 0.30428   0.20733   0.17367   0.31472	-0.87530   0.14506   0.64268   0.08756  
      	     	          	           	          	           	             	                                      	 0.21289  -1.18419   0.25225   0.71905  
      	     	          	           	          	           	             	                                      	 1.12598   0.30113  -1.61300   0.18588  
      	     	          	           	          	           	             	                                      	 0.08466   0.47370   0.10258  -0.66094  
  #66	4   	-11308.67010	Yes        	4        	0.602    	0.195    	 0.31005   0.19659   0.17763   0.31573	-0.81938   0.09532   0.65109   0.07297  
      	     	          	           	          	           	             	                                      	 0.15033  -1.27370   0.26690   0.85647  
      	     	          	           	          	           	             	                                      	 1.13644   0.29538  -1.57320   0.14138  
      	     	          	           	          	           	             	                                      	 0.07166   0.53327   0.07954  -0.68447  
  #67	4   	-11391.15397	Yes        	4        	618.416    	0.167    	 0.30370   0.21619   0.17785   0.30225	-0.71851   0.12168   0.54525   0.05159  
      	     	          	           	          	           	             	                                      	 0.17093  -1.31528   0.21519   0.92915  
      	     	          	           	          	           	             	                                      	 0.93106   0.26158  -1.38599   0.19335  
      	     	          	           	          	           	             	                                      	 0.05183   0.66459   0.11377  -0.83020  
  #68	4   	-11422.65332	Yes        	4        	1.321    	0.202    	 0.30133   0.21358   0.17851   0.30658	-0.74028   0.11787   0.53560   0.08681  
      	     	          	           	          	           	             	                                      	 0.16630  -1.34872   0.16898   1.01343  
      	     	          	           	          	           	             	                                      	 0.90411   0.20217  -1.24293   0.13664  
