. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.18786  -1.21592   0.20573   0.82233  
      	     	          	           	          	           	             	                                      	 0.98752   0.21146  -1.39948   0.20050  
      	     	          	           	          	           	             	                                      	 0.13390   0.50782   0.12046  -0.76218  
  #25	4   	-57457.04044	Yes        	4        	0.862    	0.199    	 0.30496   0.18780   0.18596   0.32128	-0.87601   0.10208   0.62965   0.14428  
      	     	          	           	          	           	             	                                      	 0.16577  -1.23532   0.17304   0.89650  
      	     	          	           	          	           	             	                                      	 1.03258   0.17475  -1.37938   0.17204  
      	     	          	           	          	           	             	                                      	 0.13695   0.52403   0.09958  -0.76056  
  #26	4   	-57664.60132	Yes        	4        	1.096    	0.201    	 0.30593   0.18846   0.18729   0.31832	-0.80931   0.09674   0.59597   0.11660  
      	     	          	           	          	           	             	                                      	 0.15704  -1.32751   0.19859   0.97188  
      	     	          	           	          	           	             	                                      	 0.97348   0.19983  -1.34322   0.16992  
      	     	          	           	          	           	             	                                      	 0.11206   0.57539   0.09997  -0.78743  
  #27	4   	-57937.90558	Yes        	4        	1.231    	0.202    	 0.30732   0.18458   0.18395   0.32415	-0.82862   0.10755   0.60268   0.11839  
      	     	          	           	          	           	             	                                      	 0.17907  -1.31712   0.21895   0.91910  
      	     	          	           	          	           	             	                                      	 1.00688   0.21970  -1.41842   0.19184  
      	     	          	           	          	           	             	                                      	 0.11224   0.52335   0.10887  -0.74446  
  #28	4   	-57815.61327	Yes        	4        	1.024    	0.200    	 0.30455   0.19043   0.18462   0.32040	-0.83535   0.11579   0.58222   0.13735  
      	     	          	           	          	           	             	                                      	 0.18518  -1.29673   0.16559   0.94595  
      	     	          	           	          	           	             	                                      	 0.96046   0.17081  -1.31501   0.18374  
      	     	          	           	          	           	             	                                      	 0.13055   0.56222   0.10587  -0.79864  
  #29	4   	-57709.91575	Yes        	4        	1.047    	0.200    	 0.30648   0.18533   0.18640   0.32178	-0.84088   0.08827   0.63559   0.11702  
      	     	          	           	          	           	             	                                      	 0.14597  -1.26103   0.19448   0.92059  
      	     	          	           	          	           	             	                                      	 1.04507   0.19337  -1.42956   0.19112  
      	     	          	           	          	           	             	                                      	 0.11145   0.53022   0.11071  -0.75239  
  #30	4   	-57547.71834	Yes        	4        	1.015    	0.200    	 0.30672   0.19053   0.18238   0.32037	-0.76778   0.10330   0.55856   0.10592  
      	     	          	           	          	           	             	                                      	 0.16630  -1.33605   0.20307   0.96668  
      	     	          	           	          	           	             	                                      	 0.93940   0.21215  -1.37980   0.22825  
      	     	          	           	          	           	             	                                      	 0.10141   0.57491   0.12994  -0.80626  
  #31	4   	-57657.29468	Yes        	4        	1.329    	0.202    	 0.30975   0.18869   0.18352   0.31804	-0.86180   0.11304   0.61140   0.13736  
      	     	          	           	          	           	             	                                      	 0.18556  -1.23731   0.19436   0.85738  
      	     	          	           	          	           	             	                                      	 1.03191   0.19984  -1.42029   0.18854  
      	     	          	           	          	           	             	                                      	 0.13378   0.50869   0.10880  -0.75127  
  #32	4   	-57697.91494	Yes        	4        	880.359    	0.193    	 0.30435   0.18879   0.18706   0.31979	-0.83693   0.13500   0.59766   0.10427  
      	     	          	           	          	           	             	                                      	 0.21764  -1.30050   0.20561   0.87725  
      	     	          	           	          	           	             	                                      	 0.97238   0.20751  -1.39823   0.21834  
      	     	          	           	          	           	             	                                      	 0.09924   0.51789   0.12772  -0.74484  
  #33	4   	-57846.59661	Yes        	4        	382.584    	0.204    	 0.30213   0.18897   0.18869   0.32021	-0.81398   0.12036   0.56636   0.12726  
      	     	          	           	          	           	             	                                      	 0.19244  -1.32048   0.21383   0.91420  
      	     	          	           	          	           	             	                                      	 0.90687   0.21415  -1.33782   0.21680  
      	     	          	           	          	           	             	                                      	 0.12007   0.53951   0.12775  -0.78733  
  #34	4   	-57458.73974	Yes        	4        	0.659    	0.196    	 0.30461   0.19061   0.18852   0.31626	-0.87042   0.10991   0.65225   0.10826  
      	     	          	           	          	           	             	                                      	 0.17566  -1.23998   0.21133   0.85299  
      	     	          	           	          	           	             	                                      	 1.05389   0.21367  -1.43727   0.16970  
      	     	          	           	          	           	             	                                      	 0.10427   0.51409   0.10116  -0.71952  
  #35	4   	-57642.33134	Yes        	4        	0.480    	0.193    	 0.30357   0.19009   0.18342   0.32293	-0.81234   0.11137   0.58758   0.11339  
      	     	          	           	          	           	             	                                      	 0.17786  -1.32153   0.20543   0.93824  
      	     	          	           	          	           	             	                                      	 0.97250   0.21289  -1.38168   0.19628  
      	     	          	           	          	           	             	                                      	 0.10659   0.55228   0.11148  -0.77036  
  #36	4   	-57604.98781	Yes        	4        	0.476    	0.192    	 0.30599   0.18710   0.18590   0.32101	-0.86025   0.10241   0.63360   0.12425  
      	     	          	           	          	           	             	                                      	 0.16747  -1.24041   0.19973   0.87321  
      	     	          	           	          	           	             	                                      	 1.04288   0.20103  -1.43770   0.19378  
      	     	          	           	          	           	             	                                      	 0.11843   0.50895   0.11222  -0.73961  
  #37	4   	-57676.14606	Yes        	4        	0.651    	0.196    	 0.30676   0.18805   0.18183   0.32336	-0.84315   0.10372   0.60041   0.13902  
      	     	          	           	          	           	             	                                      	 0.16919  -1.30023   0.20104   0.93000  
      	     	          	           	          	           	             	                                      	 1.01297   0.20792  -1.37854   0.15766  
      	     	          	           	          	           	             	                                      	 0.13188   0.54083   0.08865  -0.76136  
  #38	4   	-57824.92460	Yes        	4        	0.950    	0.200    	 0.30693   0.18840   0.18481   0.31986	-0.83061   0.12184   0.58313   0.12565  
      	     	          	           	          	           	             	                                      	 0.19849  -1.32442   0.22398   0.90196  
      	     	          	           	          	           	             	                                      	 0.96848   0.22833  -1.37501   0.17820  
      	     	          	           	          	           	             	                                      	 0.12057   0.53125   0.10296  -0.75478  
  #39	4   	-57579.71059	Yes        	4        	1.151    	0.201    	 0.30864   0.19039   0.18229   0.31869	-0.83743   0.11553   0.59228   0.12962  
      	     	          	           	          	           	             	                                      	 0.18728  -1.23806   0.21017   0.84061  
      	     	          	           	          	           	             	                                      	 1.00279   0.21951  -1.44987   0.22757  
      	     	          	           	          	           	             	                                      	 0.12553   0.50219   0.13017  -0.75790  
  #40	4   	-57996.97489	Yes        	4        	0.549    	0.194    	 0.30459   0.19123   0.18612   0.31806	-0.82135   0.10852   0.58298   0.12985  
      	     	          	           	          	           	             	                                      	 0.17284  -1.28495   0.20879   0.90332  
      	     	          	           	          	           	             	                                      	 0.95407   0.21452  -1.36823   0.19964  
      	     	          	           	          	           	             	                                      	 0.12435   0.54311   0.11682  -0.78428  
  #41	4   	-57479.51334	Yes        	4        	0.897    	0.199    	 0.31074   0.18684   0.18427   0.31815	-0.82994   0.10882   0.59875   0.12237  
      	     	          	           	          	           	             	                                      	 0.18098  -1.31879   0.20563   0.93219  
      	     	          	           	          	           	             	                                      	 1.00973   0.20850  -1.37840   0.16017  
      	     	          	           	          	           	             	                                      	 0.11952   0.54743   0.09277  -0.75972  
  #42	4   	-57521.20328	Yes        	4        	0.792    	0.198    	 0.30566   0.18863   0.18402   0.32168	-0.80274   0.10291   0.59421   0.10562  
      	     	          	           	          	           	             	                                      	 0.16675  -1.32636   0.17099   0.98861  
      	     	          	           	          	           	             	                                      	 0.98701   0.17528  -1.35732   0.19503  
