. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.92502   0.26249  -1.45588   0.26838  
      	     	          	           	          	           	             	                                      	 0.13006   0.50495   0.13052  -0.76553  
  #21	4   	-14305.12021	Yes        	4        	0.653    	0.195    	 0.33200   0.17294   0.15799   0.33708	-0.73916   0.20616   0.41015   0.12284  
      	     	          	           	          	           	             	                                      	 0.39578  -1.65766   0.21258   1.04929  
      	     	          	           	          	           	             	                                      	 0.86188   0.23269  -1.32482   0.23025  
      	     	          	           	          	           	             	                                      	 0.12099   0.53834   0.10792  -0.76725  
  #22	4   	-14413.30237	Yes        	4        	0.317    	0.228    	 0.33403   0.17406   0.15715   0.33476	-0.68426   0.16673   0.43517   0.08236  
      	     	          	           	          	           	             	                                      	 0.31998  -1.66008   0.16133   1.17877  
      	     	          	           	          	           	             	                                      	 0.92493   0.17868  -1.34659   0.24297  
      	     	          	           	          	           	             	                                      	 0.08218   0.61289   0.11406  -0.80914  
  #23	4   	-14405.27418	Yes        	4        	0.682    	0.196    	 0.33104   0.17861   0.15588   0.33447	-0.71579   0.17576   0.41889   0.12114  
      	     	          	           	          	           	             	                                      	 0.32577  -1.49413   0.16402   1.00434  
      	     	          	           	          	           	             	                                      	 0.88959   0.18793  -1.42626   0.34874  
      	     	          	           	          	           	             	                                      	 0.11990   0.53633   0.16253  -0.81877  
  #24	4   	-14241.39874	Yes        	4        	0.415    	0.208    	 0.34492   0.16579   0.15335   0.33594	-0.71598   0.20869   0.40131   0.10599  
      	     	          	           	          	           	             	                                      	 0.43418  -1.66122   0.20539   1.02165  
      	     	          	           	          	           	             	                                      	 0.90260   0.22204  -1.44820   0.32356  
      	     	          	           	          	           	             	                                      	 0.10882   0.50418   0.14770  -0.76070  
  #25	4   	-14243.68020	Yes        	4        	0.390    	0.207    	 0.33722   0.17593   0.15501   0.33185	-0.72558   0.19927   0.43723   0.08908  
      	     	          	           	          	           	             	                                      	 0.38196  -1.57751   0.14071   1.05484  
      	     	          	           	          	           	             	                                      	 0.95119   0.15970  -1.40114   0.29024  
      	     	          	           	          	           	             	                                      	 0.09052   0.55923   0.13557  -0.78532  
  #26	4   	-14328.45759	Yes        	4        	0.467    	0.189    	 0.32940   0.17092   0.16606   0.33362	-0.69758   0.19793   0.40064   0.09900  
      	     	          	           	          	           	             	                                      	 0.38147  -1.72909   0.23809   1.10954  
      	     	          	           	          	           	             	                                      	 0.79470   0.24504  -1.27994   0.24019  
      	     	          	           	          	           	             	                                      	 0.09775   0.56842   0.11956  -0.78573  
  #27	4   	-14082.63285	Yes        	4        	0.812    	0.198    	 0.33888   0.16892   0.15365   0.33855	-0.65508   0.16391   0.39984   0.09133  
      	     	          	           	          	           	             	                                      	 0.32883  -1.69660   0.21822   1.14955  
      	     	          	           	          	           	             	                                      	 0.88189   0.23991  -1.42742   0.30562  
      	     	          	           	          	           	             	                                      	 0.09142   0.57358   0.13870  -0.80370  
  #28	4   	-14006.79781	Yes        	4        	0.271    	0.207    	 0.34781   0.16744   0.15513   0.32962	-0.70818   0.17095   0.43909   0.09815  
      	     	          	           	          	           	             	                                      	 0.35509  -1.60077   0.20402   1.04165  
      	     	          	           	          	           	             	                                      	 0.98446   0.22021  -1.49548   0.29081  
