. Sequence file : [Hominid_AMELY.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #25	4   	-78025.95036	Yes        	4        	1.906    	0.187    	 0.29611   0.20832   0.20644   0.28913	-0.79040   0.14578   0.52269   0.12193  
      	     	          	           	          	           	             	                                      	 0.20721  -1.28858   0.23508   0.84630  
      	     	          	           	          	           	             	                                      	 0.74971   0.23722  -1.18400   0.19707  
      	     	          	           	          	           	             	                                      	 0.12487   0.60977   0.14071  -0.87536  
  #26	4   	-77964.09070	Yes        	4        	2.533    	0.218    	 0.29636   0.20660   0.20617   0.29086	-0.78361   0.16048   0.51450   0.10863  
      	     	          	           	          	           	             	                                      	 0.23021  -1.33739   0.24221   0.86497  
      	     	          	           	          	           	             	                                      	 0.73956   0.24271  -1.17154   0.18926  
      	     	          	           	          	           	             	                                      	 0.11069   0.61439   0.13416  -0.85923  
  #27	4   	-77667.08873	Yes        	4        	1.043    	0.199    	 0.29612   0.20704   0.20510   0.29174	-0.79708   0.15387   0.53525   0.10796  
      	     	          	           	          	           	             	                                      	 0.22008  -1.30252   0.23869   0.84375  
      	     	          	           	          	           	             	                                      	 0.77277   0.24095  -1.20808   0.19436  
      	     	          	           	          	           	             	                                      	 0.10958   0.59878   0.13664  -0.84500  
  #28	4   	-77549.04571	Yes        	4        	1.198    	0.182    	 0.29781   0.20757   0.20628   0.28834	-0.75910   0.14788   0.50634   0.10488  
      	     	          	           	          	           	             	                                      	 0.21217  -1.32188   0.23809   0.87162  
      	     	          	           	          	           	             	                                      	 0.73101   0.23957  -1.18191   0.21132  
      	     	          	           	          	           	             	                                      	 0.10833   0.62745   0.15119  -0.88696  
  #29	4   	-77906.96096	Yes        	4        	0.874    	0.200    	 0.29519   0.20701   0.20769   0.29011	-0.79285   0.16213   0.52170   0.10902  
      	     	          	           	          	           	             	                                      	 0.23120  -1.31060   0.24286   0.83654  
      	     	          	           	          	           	             	                                      	 0.74148   0.24206  -1.18824   0.20470  
      	     	          	           	          	           	             	                                      	 0.11093   0.59691   0.14654  -0.85438  
  #30	4   	-77433.21006	Yes        	4        	1.208    	0.200    	 0.29308   0.20947   0.20707   0.29039	-0.78019   0.15277   0.50596   0.12147  
      	     	          	           	          	           	             	                                      	 0.21374  -1.30672   0.26928   0.82369  
      	     	          	           	          	           	             	                                      	 0.71612   0.27240  -1.19330   0.20478  
      	     	          	           	          	           	             	                                      	 0.12259   0.59415   0.14602  -0.86276  
  #31	4   	-77516.99797	Yes        	4        	2.133    	0.188    	 0.29522   0.20738   0.20467   0.29274	-0.79303   0.14620   0.53702   0.10981  
      	     	          	           	          	           	             	                                      	 0.20812  -1.29042   0.22615   0.85615  
      	     	          	           	          	           	             	                                      	 0.77461   0.22914  -1.20623   0.20248  
      	     	          	           	          	           	             	                                      	 0.11074   0.60650   0.14156  -0.85880  
  #32	4   	-77681.18066	Yes        	4        	0.969    	0.200    	 0.29529   0.20756   0.20543   0.29171	-0.77952   0.13599   0.54386   0.09966  
      	     	          	           	          	           	             	                                      	 0.19348  -1.29316   0.23792   0.86176  
      	     	          	           	          	           	             	                                      	 0.78175   0.24037  -1.22447   0.20234  
      	     	          	           	          	           	             	                                      	 0.10088   0.61315   0.14249  -0.85653  
  #33	4   	-77805.95008	Yes        	4        	0.804    	0.200    	 0.29763   0.20546   0.20813   0.28877	-0.78917   0.17058   0.52329   0.09529  
      	     	          	           	          	           	             	                                      	 0.24711  -1.36067   0.27306   0.84050  
      	     	          	           	          	           	             	                                      	 0.74830   0.26955  -1.19239   0.17454  
      	     	          	           	          	           	             	                                      	 0.09822   0.59801   0.12580  -0.82202  
  #34	4   	-77963.49249	Yes        	4        	0.834    	0.200    	 0.29234   0.20888   0.20975   0.28903	-0.80464   0.15726   0.53526   0.11212  
      	     	          	           	          	           	             	                                      	 0.22010  -1.32731   0.27711   0.83010  
      	     	          	           	          	           	             	                                      	 0.74601   0.27595  -1.18167   0.15971  
      	     	          	           	          	           	             	                                      	 0.11340   0.59990   0.11591  -0.82921  
  #35	4   	-77685.69754	Yes        	4        	6.795    	0.217    	 0.29631   0.20444   0.20333   0.29591	-0.79133   0.15085   0.52425   0.11623  
      	     	          	           	          	           	             	                                      	 0.21864  -1.34525   0.26090   0.86571  
      	     	          	           	          	           	             	                                      	 0.76397   0.26233  -1.19937   0.17307  
      	     	          	           	          	           	             	                                      	 0.11639   0.59811   0.11892  -0.83342  
  #36	4   	-77872.76873	Yes        	4        	1.802    	0.187    	 0.29665   0.21167   0.20455   0.28713	-0.79224   0.16188   0.52547   0.10489  
      	     	          	           	          	           	             	                                      	 0.22688  -1.29919   0.25128   0.82103  
      	     	          	           	          	           	             	                                      	 0.76208   0.26002  -1.20789   0.18579  
      	     	          	           	          	           	             	                                      	 0.10837   0.60527   0.13236  -0.84599  
  #37	4   	-77929.64092	Yes        	4        	1.342    	0.180    	 0.29424   0.20830   0.20833   0.28912	-0.78460   0.15279   0.51709   0.11473  
      	     	          	           	          	           	             	                                      	 0.21582  -1.29939   0.25026   0.83332  
      	     	          	           	          	           	             	                                      	 0.73031   0.25023  -1.18897   0.20843  
      	     	          	           	          	           	             	                                      	 0.11676   0.60038   0.15019  -0.86734  
  #38	4   	-77435.74144	Yes        	4        	1.341    	0.184    	 0.29700   0.20637   0.20813   0.28850	-0.78460   0.14866   0.52602   0.10992  
      	     	          	           	          	           	             	                                      	 0.21395  -1.30709   0.24339   0.84976  
      	     	          	           	          	           	             	                                      	 0.75060   0.24133  -1.19076   0.19882  
      	     	          	           	          	           	             	                                      	 0.11316   0.60786   0.14344  -0.86446  
  #39	4   	-77776.13431	Yes        	4        	1.225    	0.200    	 0.30020   0.20621   0.20339   0.29021	-0.79687   0.17040   0.51351   0.11296  
      	     	          	           	          	           	             	                                      	 0.24806  -1.31852   0.23459   0.83586  
      	     	          	           	          	           	             	                                      	 0.75793   0.23784  -1.19266   0.19689  
      	     	          	           	          	           	             	                                      	 0.11685   0.59393   0.13799  -0.84877  
  #40	4   	-77533.95659	Yes        	4        	1.699    	0.185    	 0.29939   0.20456   0.20424   0.29182	-0.75467   0.15001   0.50426   0.10040  
      	     	          	           	          	           	             	                                      	 0.21956  -1.37380   0.27251   0.88173  
      	     	          	           	          	           	             	                                      	 0.73920   0.27293  -1.19796   0.18583  
      	     	          	           	          	           	             	                                      	 0.10300   0.61807   0.13006  -0.85113  
  #41	4   	-77554.16911	Yes        	4        	1.298    	0.180    	 0.29659   0.20448   0.20602   0.29290	-0.79540   0.15114   0.52256   0.12170  
      	     	          	           	          	           	             	                                      	 0.21922  -1.32193   0.23637   0.86634  
      	     	          	           	          	           	             	                                      	 0.75230   0.23461  -1.17428   0.18737  
      	     	          	           	          	           	             	                                      	 0.12323   0.60482   0.13179  -0.85985  
  #42	4   	-77795.14004	Yes        	4        	2.905    	0.217    	 0.29832   0.20480   0.20495   0.29193	-0.74744   0.16193   0.48574   0.09977  
      	     	          	           	          	           	             	                                      	 0.23587  -1.37502   0.25557   0.88357  
      	     	          	           	          	           	             	                                      	 0.70705   0.25539  -1.17581   0.21336  
      	     	          	           	          	           	             	                                      	 0.10195   0.61985   0.14979  -0.87158  
  #43	4   	-77818.63873	Yes        	4        	1.612    	0.185    	 0.29405   0.21044   0.20830   0.28721	-0.79130   0.13538   0.54552   0.11040  
      	     	          	           	          	           	             	                                      	 0.18917  -1.25246   0.23309   0.83020  
      	     	          	           	          	           	             	                                      	 0.77007   0.23548  -1.21469   0.20913  
      	     	          	           	          	           	             	                                      	 0.11303   0.60828   0.15167  -0.87299  
  #44	4   	-77491.00200	Yes        	4        	1.839    	0.186    	 0.29733   0.20660   0.20605   0.29002	-0.78080   0.14978   0.50694   0.12408  
      	     	          	           	          	           	             	                                      	 0.21556  -1.31353   0.28603   0.81194  
      	     	          	           	          	           	             	                                      	 0.73152   0.28680  -1.21731   0.19899  
      	     	          	           	          	           	             	                                      	 0.12721   0.57840   0.14138  -0.84698  
  #45	4   	-77708.07063	Yes        	4        	1.816    	0.186    	 0.29471   0.20575   0.20972   0.28983	-0.80777   0.15738   0.53488   0.11550  
      	     	          	           	          	           	             	                                      	 0.22543  -1.30251   0.23444   0.84263  
      	     	          	           	          	           	             	                                      	 0.75165   0.23000  -1.17400   0.19236  
      	     	          	           	          	           	             	                                      	 0.11745   0.59818   0.13919  -0.85482  
  #46	4   	-78277.55482	Yes        	4        	1.610    	0.186    	 0.29742   0.20395   0.20585   0.29278	-0.76965   0.14509   0.51534   0.10922  
      	     	          	           	          	           	             	                                      	 0.21158  -1.34018   0.28371   0.84489  
      	     	          	           	          	           	             	                                      	 0.74456   0.28108  -1.22442   0.19877  
      	     	          	           	          	           	             	                                      	 0.11094   0.58854   0.13976  -0.83925  
  #47	4   	-77605.01570	Yes        	4        	1.139    	0.199    	 0.29528   0.20915   0.20438   0.29118	-0.78508   0.15547   0.51897   0.11064  
      	     	          	           	          	           	             	                                      	 0.21948  -1.30315   0.25298   0.83069  
      	     	          	           	          	           	             	                                      	 0.74976   0.25888  -1.21184   0.20319  
      	     	          	           	          	           	             	                                      	 0.11220   0.59668   0.14262  -0.85150  
  #48	4   	-78005.48918	Yes        	4        	0.859    	0.199    	 0.29405   0.20907   0.20728   0.28961	-0.79092   0.15840   0.52039   0.11214  
      	     	          	           	          	           	             	                                      	 0.22278  -1.31305   0.23814   0.85212  
      	     	          	           	          	           	             	                                      	 0.73824   0.24020  -1.16896   0.19052  
      	     	          	           	          	           	             	                                      	 0.11385   0.61515   0.13636  -0.86536  
  #49	4   	-77923.88034	Yes        	4        	1.346    	0.200    	 0.29728   0.20634   0.20877   0.28761	-0.77726   0.17405   0.49076   0.11245  
      	     	          	           	          	           	             	                                      	 0.25077  -1.34087   0.26412   0.82598  
      	     	          	           	          	           	             	                                      	 0.69881   0.26104  -1.17064   0.21079  
      	     	          	           	          	           	             	                                      	 0.11623   0.59258   0.15301  -0.86181  
  #50	4   	-77948.03026	Yes        	4        	1.666    	0.186    	 0.30116   0.20291   0.20614   0.28980	-0.78563   0.15192   0.53614   0.09756  
      	     	          	           	          	           	             	                                      	 0.22549  -1.32847   0.24499   0.85799  
      	     	          	           	          	           	             	                                      	 0.78328   0.24115  -1.21654   0.19212  
      	     	          	           	          	           	             	                                      	 0.10138   0.60073   0.13666  -0.83877  
  #51	4   	-77902.23931	Yes        	4        	0.650    	0.180    	 0.29512   0.21036   0.20517   0.28935	-0.77614   0.16004   0.50423   0.11187  
      	     	          	           	          	           	             	                                      	 0.22452  -1.34681   0.22979   0.89249  
      	     	          	           	          	           	             	                                      	 0.72530   0.23560  -1.13082   0.16992  
      	     	          	           	          	           	             	                                      	 0.11410   0.64885   0.12049  -0.88344  
  #52	4   	-77433.30108	Yes        	4        	1.999    	0.188    	 0.29587   0.20676   0.20374   0.29363	-0.79108   0.16185   0.52825   0.10098  
      	     	          	           	          	           	             	                                      	 0.23161  -1.34373   0.24358   0.86854  
      	     	          	           	          	           	             	                                      	 0.76714   0.24720  -1.19102   0.17668  
      	     	          	           	          	           	             	                                      	 0.10175   0.61159   0.12260  -0.83594  
  #53	4   	-77659.36707	Yes        	4        	0.633    	0.180    	 0.29550   0.21066   0.20495   0.28889	-0.78580   0.15299   0.51038   0.12243  
      	     	          	           	          	           	             	                                      	 0.21460  -1.30394   0.23026   0.85907  
      	     	          	           	          	           	             	                                      	 0.73588   0.23668  -1.15953   0.18697  
      	     	          	           	          	           	             	                                      	 0.12523   0.62642   0.13264  -0.88430  
  #54	4   	-77568.82964	Yes        	4        	1.341    	0.184    	 0.29905   0.20451   0.20615   0.29029	-0.80181   0.15060   0.55089   0.10032  
      	     	          	           	          	           	             	                                      	 0.22022  -1.31384   0.25122   0.84239  
      	     	          	           	          	           	             	                                      	 0.79913   0.24921  -1.22573   0.17738  
      	     	          	           	          	           	             	                                      	 0.10334   0.59346   0.12597  -0.82277  
  #55	4   	-77945.99592	Yes        	4        	1.265    	0.181    	 0.29844   0.20763   0.20290   0.29103	-0.77994   0.14721   0.52451   0.10821  
      	     	          	           	          	           	             	                                      	 0.21160  -1.31104   0.25266   0.84678  
      	     	          	           	          	           	             	                                      	 0.77150   0.25854  -1.22206   0.19202  
      	     	          	           	          	           	             	                                      	 0.11097   0.60411   0.13387  -0.84895  
  #56	4   	-77963.14824	Yes        	4        	1.315    	0.200    	 0.29508   0.20999   0.20399   0.29095	-0.79131   0.15961   0.50678   0.12492  
      	     	          	           	          	           	             	                                      	 0.22429  -1.31511   0.25110   0.83971  
      	     	          	           	          	           	             	                                      	 0.73310   0.25849  -1.17514   0.18355  
      	     	          	           	          	           	             	                                      	 0.12669   0.60605   0.12869  -0.86144  
  #57	4   	-77707.81684	Yes        	4        	1.362    	0.199    	 0.29926   0.20667   0.20473   0.28934	-0.76473   0.14574   0.52527   0.09372  
      	     	          	           	          	           	             	                                      	 0.21104  -1.34621   0.26878   0.86640  
      	     	          	           	          	           	             	                                      	 0.76779   0.27132  -1.21758   0.17847  
      	     	          	           	          	           	             	                                      	 0.09694   0.61886   0.12629  -0.84208  
  #58	4   	-77542.22149	Yes        	4        	1.562    	0.185    	 0.29718   0.20689   0.20567   0.29026	-0.76558   0.15050   0.49076   0.12431  
      	     	          	           	          	           	             	                                      	 0.21619  -1.33030   0.26543   0.84869  
      	     	          	           	          	           	             	                                      	 0.70915   0.26701  -1.18028   0.20412  
      	     	          	           	          	           	             	                                      	 0.12728   0.60493   0.14463  -0.87684  
  #59	4   	-78038.31453	Yes        	4        	1.239    	0.181    	 0.29490   0.20385   0.20866   0.29259	-0.78735   0.14045   0.54082   0.10608  
      	     	          	           	          	           	             	                                      	 0.20319  -1.31915   0.25750   0.85846  
      	     	          	           	          	           	             	                                      	 0.76436   0.25157  -1.20915   0.19321  
      	     	          	           	          	           	             	                                      	 0.10692   0.59811   0.13779  -0.84282  
  #60	4   	-78338.38192	Yes        	4        	1.032    	0.199    	 0.29985   0.21054   0.20222   0.28739	-0.77118   0.14023   0.53555   0.09540  
      	     	          	           	          	           	             	                                      	 0.19971  -1.30015   0.26168   0.83875  
      	     	          	           	          	           	             	                                      	 0.79409   0.27245  -1.24987   0.18333  
      	     	          	           	          	           	             	                                      	 0.09953   0.61449   0.12900  -0.84302  
  #61	4   	-77667.18202	Yes        	4        	1.047    	0.201    	 0.29540   0.20643   0.20768   0.29048	-0.75437   0.14689   0.49930   0.10818  
      	     	          	           	          	           	             	                                      	 0.21021  -1.35094   0.28845   0.85229  
      	     	          	           	          	           	             	                                      	 0.71018   0.28671  -1.19755   0.20066  
      	     	          	           	          	           	             	                                      	 0.11001   0.60568   0.14346  -0.85915  
  #62	4   	-77641.94247	Yes        	4        	1.065    	0.199    	 0.29877   0.20642   0.20561   0.28920	-0.77439   0.13717   0.53766   0.09956  
      	     	          	           	          	           	             	                                      	 0.19854  -1.30223   0.25359   0.85010  
      	     	          	           	          	           	             	                                      	 0.78128   0.25458  -1.23438   0.19852  
      	     	          	           	          	           	             	                                      	 0.10285   0.60675   0.14113  -0.85073  
  #63	4   	-77620.66306	Yes        	4        	8.283    	0.218    	 0.29560   0.20764   0.20261   0.29415	-0.76147   0.17502   0.47869   0.10776  
      	     	          	           	          	           	             	                                      	 0.24917  -1.38007   0.26042   0.87048  
      	     	          	           	          	           	             	                                      	 0.69837   0.26688  -1.16311   0.19786  
      	     	          	           	          	           	             	                                      	 0.10829   0.61448   0.13629  -0.85906  
  #64	4   	-77763.96977	Yes        	4        	1.586    	0.185    	 0.29831   0.20890   0.20342   0.28937	-0.76292   0.13139   0.51124   0.12029  
      	     	          	           	          	           	             	                                      	 0.18763  -1.29008   0.24016   0.86230  
      	     	          	           	          	           	             	                                      	 0.74969   0.24663  -1.20332   0.20700  
      	     	          	           	          	           	             	                                      	 0.12401   0.62252   0.14552  -0.89205  
  #65	4   	-77863.36120	Yes        	4        	2.042    	0.187    	 0.29530   0.20504   0.20803   0.29163	-0.79407   0.14971   0.52206   0.12229  
      	     	          	           	          	           	             	                                      	 0.21561  -1.31968   0.27338   0.83069  
      	     	          	           	          	           	             	                                      	 0.74105   0.26945  -1.19862   0.18812  
      	     	          	           	          	           	             	                                      	 0.12383   0.58405   0.13420  -0.84207  
  #66	4   	-77866.90903	Yes        	4        	6.786    	0.218    	 0.29473   0.20949   0.20569   0.29009	-0.77145   0.15668   0.51211   0.10266  
      	     	          	           	          	           	             	                                      	 0.22044  -1.30475   0.26890   0.81541  
      	     	          	           	          	           	             	                                      	 0.73381   0.27387  -1.22879   0.22111  
      	     	          	           	          	           	             	                                      	 0.10430   0.58884   0.15677  -0.84991  
  #67	4   	-77407.00373	Yes        	4        	1.001    	0.200    	 0.29792   0.20681   0.20670   0.28858	-0.78441   0.14030   0.52827   0.11584  
      	     	          	           	          	           	             	                                      	 0.20211  -1.29789   0.24513   0.85066  
      	     	          	           	          	           	             	                                      	 0.76139   0.24525  -1.19870   0.19205  
      	     	          	           	          	           	             	                                      	 0.11959   0.60962   0.13756  -0.86677  
  #68	4   	-77950.55822	Yes        	4        	0.925    	0.199    	 0.29607   0.20636   0.20463   0.29293	-0.77252   0.16193   0.49475   0.11584  
      	     	          	           	          	           	             	                                      	 0.23232  -1.34529   0.23711   0.87586  
      	     	          	           	          	           	             	                                      	 0.71581   0.23911  -1.15825   0.20333  
