. Sequence file : [Hominid_AMTN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #21	4   	-23206.20408	Yes        	4        	0.380    	0.186    	 0.32222   0.19524   0.17891   0.30363	-0.78974   0.13950   0.54798   0.10226  
      	     	          	           	          	           	             	                                      	 0.23023  -1.30258   0.20990   0.86245  
      	     	          	           	          	           	             	                                      	 0.98693   0.22907  -1.41809   0.20210  
      	     	          	           	          	           	             	                                      	 0.10853   0.55459   0.11909  -0.78220  
  #22	4   	-23141.89036	Yes        	4        	1.576    	0.184    	 0.31480   0.19774   0.17793   0.30953	-0.75378   0.09802   0.57060   0.08516  
      	     	          	           	          	           	             	                                      	 0.15605  -1.26613   0.21794   0.89214  
      	     	          	           	          	           	             	                                      	 1.00955   0.24221  -1.49455   0.24279  
      	     	          	           	          	           	             	                                      	 0.08661   0.56994   0.13956  -0.79612  
  #23	4   	-23119.53335	Yes        	4        	0.265    	0.203    	 0.32198   0.20018   0.17586   0.30198	-0.77091   0.08493   0.58590   0.10008  
      	     	          	           	          	           	             	                                      	 0.13662  -1.22965   0.19426   0.89877  
      	     	          	           	          	           	             	                                      	 1.07274   0.22113  -1.48139   0.18753  
      	     	          	           	          	           	             	                                      	 0.10670   0.59578   0.10921  -0.81169  
  #24	4   	-22983.64758	Yes        	4        	1.897    	0.203    	 0.32436   0.19775   0.17987   0.29803	-0.78067   0.15456   0.54987   0.07624  
      	     	          	           	          	           	             	                                      	 0.25352  -1.30980   0.17988   0.87640  
      	     	          	           	          	           	             	                                      	 0.99159   0.19776  -1.40011   0.21075  
      	     	          	           	          	           	             	                                      	 0.08297   0.58151   0.12719  -0.79167  
  #25	4   	-23200.62930	Yes        	4        	0.429    	0.189    	 0.32881   0.19604   0.17604   0.29912	-0.78703   0.17280   0.50559   0.10864  
      	     	          	           	          	           	             	                                      	 0.28983  -1.34099   0.20525   0.84592  
      	     	          	           	          	           	             	                                      	 0.94433   0.22856  -1.37259   0.19970  
      	     	          	           	          	           	             	                                      	 0.11943   0.55440   0.11753  -0.79135  
  #26	4   	-23285.18283	Yes        	4        	0.564    	0.193    	 0.31789   0.19709   0.17770   0.30733	-0.72870   0.13684   0.49736   0.09449  
      	     	          	           	          	           	             	                                      	 0.22072  -1.36845   0.16429   0.98344  
      	     	          	           	          	           	             	                                      	 0.88973   0.18221  -1.30917   0.23723  
      	     	          	           	          	           	             	                                      	 0.09774   0.63067   0.13717  -0.86557  
  #27	4   	-23278.12337	Yes        	4        	0.498    	0.191    	 0.32084   0.19161   0.18132   0.30623	-0.78984   0.11029   0.58390   0.09564  
      	     	          	           	          	           	             	                                      	 0.18468  -1.28325   0.21309   0.88548  
      	     	          	           	          	           	             	                                      	 1.03321   0.22518  -1.45744   0.19905  
      	     	          	           	          	           	             	                                      	 0.10021   0.55404   0.11786  -0.77211  
  #28	4   	-23463.44141	Yes        	4        	0.494    	0.190    	 0.31814   0.19968   0.17950   0.30268	-0.77282   0.12179   0.54459   0.10643  
      	     	          	           	          	           	             	                                      	 0.19404  -1.26088   0.20014   0.86671  
      	     	          	           	          	           	             	                                      	 0.96518   0.22264  -1.41681   0.22900  
      	     	          	           	          	           	             	                                      	 0.11187   0.57179   0.13581  -0.81948  
  #29	4   	-23279.68353	Yes        	4        	0.342    	0.185    	 0.31406   0.19697   0.18469   0.30428	-0.83168   0.13583   0.60202   0.09383  
      	     	          	           	          	           	             	                                      	 0.21657  -1.24818   0.17674   0.85487  
      	     	          	           	          	           	             	                                      	 1.02369   0.18849  -1.40500   0.19282  
      	     	          	           	          	           	             	                                      	 0.09684   0.55337   0.11704  -0.76725  
  #30	4   	-22994.42926	Yes        	4        	0.375    	0.185    	 0.31685   0.19542   0.17805   0.30969	-0.73985   0.09652   0.55275   0.09059  
      	     	          	           	          	           	             	                                      	 0.15650  -1.31878   0.19991   0.96236  
      	     	          	           	          	           	             	                                      	 0.98367   0.21942  -1.41903   0.21595  
      	     	          	           	          	           	             	                                      	 0.09268   0.60726   0.12415  -0.82410  
  #31	4   	-23333.14400	Yes        	4        	0.366    	0.185    	 0.31552   0.19619   0.18763   0.30066	-0.75836   0.08777   0.59617   0.07442  
      	     	          	           	          	           	             	                                      	 0.14115  -1.26379   0.22153   0.90111  
      	     	          	           	          	           	             	                                      	 1.00251   0.23164  -1.44984   0.21569  
      	     	          	           	          	           	             	                                      	 0.07810   0.58801   0.13461  -0.80072  
  #32	4   	-23158.63719	Yes        	4        	0.463    	0.190    	 0.32664   0.19676   0.17680   0.29980	-0.75778   0.12337   0.53217   0.10224  
      	     	          	           	          	           	             	                                      	 0.20480  -1.31612   0.20748   0.90384  
      	     	          	           	          	           	             	                                      	 0.98323   0.23091  -1.40541   0.19127  
      	     	          	           	          	           	             	                                      	 0.11139   0.59318   0.11279  -0.81737  
  #33	4   	-23274.24710	Yes        	4        	0.705    	0.196    	 0.32026   0.19101   0.17333   0.31540	-0.78307   0.12093   0.55087   0.11127  
      	     	          	           	          	           	             	                                      	 0.20276  -1.30982   0.19833   0.90873  
      	     	          	           	          	           	             	                                      	 1.01780   0.21855  -1.45417   0.21782  
      	     	          	           	          	           	             	                                      	 0.11298   0.55035   0.11971  -0.78304  
  #34	4   	-23327.83993	Yes        	4        	0.457    	0.190    	 0.32255   0.19502   0.17989   0.30254	-0.80112   0.16228   0.54760   0.09124  
      	     	          	           	          	           	             	                                      	 0.26839  -1.31775   0.24232   0.80704  
      	     	          	           	          	           	             	                                      	 0.98186   0.26270  -1.44998   0.20542  
      	     	          	           	          	           	             	                                      	 0.09728   0.52022   0.12214  -0.73964  
  #35	4   	-23116.98322	Yes        	4        	0.404    	0.187    	 0.32572   0.19114   0.17895   0.30419	-0.77917   0.14786   0.56391   0.06740  
      	     	          	           	          	           	             	                                      	 0.25195  -1.33120   0.19548   0.88377  
      	     	          	           	          	           	             	                                      	 1.02639   0.20879  -1.45826   0.22308  
      	     	          	           	          	           	             	                                      	 0.07217   0.55534   0.13124  -0.75875  
  #36	4   	-23115.48035	Yes        	4        	382.584    	0.214    	 0.32123   0.19113   0.18357   0.30408	-0.82862   0.15205   0.59259   0.08398  
      	     	          	           	          	           	             	                                      	 0.25555  -1.26730   0.22905   0.78271  
      	     	          	           	          	           	             	                                      	 1.03699   0.23848  -1.49582   0.22035  
      	     	          	           	          	           	             	                                      	 0.08872   0.49197   0.13302  -0.71371  
  #37	4   	-23149.67028	Yes        	4        	0.305    	0.258    	 0.32619   0.19058   0.17998   0.30324	-0.73848   0.11093   0.56395   0.06359  
      	     	          	           	          	           	             	                                      	 0.18986  -1.35821   0.21363   0.95472  
      	     	          	           	          	           	             	                                      	 1.02208   0.22621  -1.45079   0.20250  
      	     	          	           	          	           	             	                                      	 0.06841   0.60003   0.12019  -0.78863  
  #38	4   	-23094.35936	Yes        	4        	0.260    	0.287    	 0.32448   0.19741   0.17450   0.30361	-0.76060   0.14997   0.49775   0.11289  
      	     	          	           	          	           	             	                                      	 0.24650  -1.34866   0.24136   0.86080  
