. Sequence file : [Hominid_AMBN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.23134  -1.33572   0.13788   0.96651  
      	     	          	           	          	           	             	                                      	 1.00887   0.15583  -1.35998   0.19528  
      	     	          	           	          	           	             	                                      	 0.08270   0.61281   0.10955  -0.80507  
  #23	4   	-24380.28758	Yes        	4        	0.527    	0.193    	 0.31497   0.19814   0.17922   0.30768	-0.82777   0.13951   0.60044   0.08782  
      	     	          	           	          	           	             	                                      	 0.22177  -1.23628   0.13856   0.87594  
      	     	          	           	          	           	             	                                      	 1.05527   0.15319  -1.42199   0.21354  
      	     	          	           	          	           	             	                                      	 0.08990   0.56408   0.12438  -0.77836  
  #24	4   	-24178.50038	Yes        	4        	0.516    	0.193    	 0.32416   0.19314   0.17973   0.30297	-0.70301   0.11641   0.52874   0.05786  
      	     	          	           	          	           	             	                                      	 0.19538  -1.35098   0.20935   0.94624  
      	     	          	           	          	           	             	                                      	 0.95363   0.22497  -1.45080   0.27220  
      	     	          	           	          	           	             	                                      	 0.06190   0.60322   0.16147  -0.82659  
  #25	4   	-24459.80221	Yes        	4        	0.679    	0.196    	 0.32258   0.19677   0.17744   0.30321	-0.82285   0.14627   0.59567   0.08092  
      	     	          	           	          	           	             	                                      	 0.23978  -1.26840   0.17086   0.85777  
      	     	          	           	          	           	             	                                      	 1.08293   0.18948  -1.45365   0.18124  
      	     	          	           	          	           	             	                                      	 0.08609   0.55666   0.10606  -0.74881  
  #26	4   	-24502.23803	Yes        	4        	0.319    	0.205    	 0.32502   0.19204   0.17827   0.30467	-0.78602   0.15375   0.51587   0.11641  
      	     	          	           	          	           	             	                                      	 0.26021  -1.31136   0.19382   0.85733  
      	     	          	           	          	           	             	                                      	 0.94056   0.20879  -1.38868   0.23932  
      	     	          	           	          	           	             	                                      	 0.12418   0.54039   0.14003  -0.80459  
  #27	4   	-24538.73856	Yes        	4        	0.596    	0.194    	 0.32269   0.19242   0.17700   0.30790	-0.72184   0.13743   0.49618   0.08823  
      	     	          	           	          	           	             	                                      	 0.23047  -1.43664   0.16162   1.04454  
      	     	          	           	          	           	             	                                      	 0.90460   0.17570  -1.27793   0.19763  
      	     	          	           	          	           	             	                                      	 0.09247   0.65279   0.11361  -0.85887  
  #28	4   	-24274.47947	Yes        	4        	0.330    	0.206    	 0.31931   0.18939   0.18048   0.31082	-0.79412   0.15616   0.55198   0.08599  
      	     	          	           	          	           	             	                                      	 0.26328  -1.37587   0.21772   0.89487  
      	     	          	           	          	           	             	                                      	 0.97655   0.22846  -1.40291   0.19790  
      	     	          	           	          	           	             	                                      	 0.08833   0.54527   0.11491  -0.74851  
  #29	4   	-24324.80529	Yes        	4        	0.715    	0.198    	 0.32359   0.19059   0.18355   0.30227	-0.77204   0.11900   0.53641   0.11663  
      	     	          	           	          	           	             	                                      	 0.20204  -1.25441   0.18209   0.87029  
      	     	          	           	          	           	             	                                      	 0.94569   0.18907  -1.40498   0.27022  
      	     	          	           	          	           	             	                                      	 0.12486   0.54875   0.16409  -0.83770  
  #30	4   	-24371.24324	Yes        	4        	0.921    	0.199    	 0.32315   0.18779   0.18289   0.30616	-0.76023   0.14537   0.54096   0.07391  
      	     	          	           	          	           	             	                                      	 0.25014  -1.38206   0.20656   0.92536  
      	     	          	           	          	           	             	                                      	 0.95583   0.21210  -1.39627   0.22833  
      	     	          	           	          	           	             	                                      	 0.07801   0.56760   0.13640  -0.78201  
  #31	4   	-24186.00070	Yes        	4        	382.584    	0.213    	 0.31990   0.19028   0.18095   0.30887	-0.77103   0.13910   0.53500   0.09692  
      	     	          	           	          	           	             	                                      	 0.23386  -1.32644   0.19576   0.89682  
      	     	          	           	          	           	             	                                      	 0.94580   0.20585  -1.40285   0.25119  
      	     	          	           	          	           	             	                                      	 0.10038   0.55249   0.14716  -0.80003  
  #32	4   	-24288.48125	Yes        	4        	0.400    	0.189    	 0.32623   0.19414   0.17859   0.30105	-0.75310   0.13020   0.53410   0.08880  
      	     	          	           	          	           	             	                                      	 0.21879  -1.27068   0.13612   0.91577  
      	     	          	           	          	           	             	                                      	 0.97564   0.14797  -1.40418   0.28057  
      	     	          	           	          	           	             	                                      	 0.09622   0.59056   0.16644  -0.85322  
  #33	4   	-24296.23747	Yes        	4        	1.539    	0.203    	 0.31777   0.19329   0.18471   0.30423	-0.80005   0.13989   0.55819   0.10198  
      	     	          	           	          	           	             	                                      	 0.22998  -1.30141   0.16612   0.90531  
      	     	          	           	          	           	             	                                      	 0.96028   0.17384  -1.34346   0.20934  
      	     	          	           	          	           	             	                                      	 0.10652   0.57520   0.12710  -0.80881  
  #34	4   	-24277.77843	Yes        	4        	0.595    	0.195    	 0.32719   0.19058   0.17637   0.30586	-0.74896   0.14821   0.53325   0.06750  
      	     	          	           	          	           	             	                                      	 0.25445  -1.39457   0.18564   0.95449  
      	     	          	           	          	           	             	                                      	 0.98927   0.20059  -1.40341   0.21356  
      	     	          	           	          	           	             	                                      	 0.07221   0.59473   0.12314  -0.79008  
  #35	4   	-24267.10442	Yes        	4        	0.399    	0.190    	 0.32066   0.18928   0.18675   0.30330	-0.73545   0.13850   0.51330   0.08364  
      	     	          	           	          	           	             	                                      	 0.23464  -1.45145   0.24194   0.97487  
      	     	          	           	          	           	             	                                      	 0.88137   0.24521  -1.30783   0.18125  
      	     	          	           	          	           	             	                                      	 0.08843   0.60838   0.11160  -0.80841  
  #36	4   	-24203.10633	Yes        	4        	0.307    	0.230    	 0.31611   0.18714   0.18561   0.31114	-0.78902   0.14400   0.57217   0.07285  
      	     	          	           	          	           	             	                                      	 0.24324  -1.36045   0.18082   0.93639  
      	     	          	           	          	           	             	                                      	 0.97449   0.18232  -1.38042   0.22361  
      	     	          	           	          	           	             	                                      	 0.07402   0.56321   0.13339  -0.77062  
  #37	4   	-24317.38058	Yes        	4        	0.664    	0.196    	 0.32315   0.19202   0.17925   0.30557	-0.77331   0.15356   0.51582   0.10394  
      	     	          	           	          	           	             	                                      	 0.25842  -1.33622   0.12859   0.94922  
      	     	          	           	          	           	             	                                      	 0.92992   0.13775  -1.30833   0.24066  
      	     	          	           	          	           	             	                                      	 0.10992   0.59649   0.14117  -0.84758  
  #38	4   	-24392.94436	Yes        	4        	0.354    	0.208    	 0.31856   0.19234   0.18693   0.30217	-0.74333   0.13776   0.54545   0.06012  
      	     	          	           	          	           	             	                                      	 0.22816  -1.36690   0.17096   0.96778  
      	     	          	           	          	           	             	                                      	 0.92956   0.17591  -1.34179   0.23631  
      	     	          	           	          	           	             	                                      	 0.06338   0.61603   0.14619  -0.82560  
  #39	4   	-24143.18619	Yes        	4        	0.567    	0.195    	 0.32190   0.18883   0.18202   0.30725	-0.79305   0.14787   0.55126   0.09392  
      	     	          	           	          	           	             	                                      	 0.25207  -1.27731   0.14345   0.88179  
      	     	          	           	          	           	             	                                      	 0.97487   0.14881  -1.40454   0.28085  
      	     	          	           	          	           	             	                                      	 0.09840   0.54194   0.16639  -0.80672  
